title,url
Mobile Suit Gundam,https://youtube.com/playlist?list=PLvZvtO-L5oh4p9tRnxzw4iYxf6YnfuDe8&si=zHYZfXO7mBwTxSGG
Mushoku Tensei,https://www.youtube.com/playlist?list=PLvZvtO-L5oh5rGajR-WK6mSLE7_cncx0I
Nana,https://www.youtube.com/playlist?list=PLvZvtO-L5oh57zMlTKbzLseI7re4A-D03
Nanatsu no Taizai,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7D8GbiMjxUFVTaOV1lkQQC
Naruto,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7RC4SEk1IuB_vQzr_P75Rd
Naruto Shippuden,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7yrG5-A2Q97Mnxg1Zsf0vi
Noragami,https://www.youtube.com/playlist?list=PLvZvtO-L5oh68wPm-PDdG9fV_1YLBsRu8
One Piece Film Red,https://www.youtube.com/playlist?list=PLvZvtO-L5oh4_XQU0ZLdNuqTg1AGoBf4a
Orb: On the Movements of the Earth,https://www.youtube.com/playlist?list=PLvZvtO-L5oh6bu5dTJSrV4zGzPpZ0lQ03
Oregairu,https://www.youtube.com/playlist?list=PLvZvtO-L5oh5ch10QseDI1ekuscpRUupR
Oshi No Ko,https://www.youtube.com/playlist?list=PLvZvtO-L5oh6jL72RL1eMDqqE2XUT8G15
Ousama Ranking,https://www.youtube.com/playlist?list=PLvZvtO-L5oh6jp9laDQ1ZPXnOXbs2dNRn
Overlord,https://www.youtube.com/playlist?list=PLvZvtO-L5oh4ZeuCh-bPIyeFOxw75yYKY
Psycho-Pass,https://www.youtube.com/playlist?list=PLvZvtO-L5oh48pWtfwfwAq_j7FdtH4rIL
Ragna Crimson,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7jSc99gNqKwPbFElK8mKU4
Re:ZERO,https://www.youtube.com/playlist?list=PLvZvtO-L5oh4U_Cwb94Pss3_3KvQVMOMv
Sakamoto Days,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7NeqhY8CF2u-qQGXGs7nRE
SAO,https://www.youtube.com/playlist?list=PLvZvtO-L5oh6wmuf5oZR-CJzmjgOS6lns
Shingeki no Kyojin,https://www.youtube.com/playlist?list=PLvZvtO-L5oh49jfZYH5AbIjwRLVjKOLa4
Shokugeki no Soma,https://www.youtube.com/playlist?list=PLvZvtO-L5oh50Fi7eCygvdZufVu8pIZ32
